year,movie,movie_id,certificate,duration,genre,rate,metascore,synopsis,votes,gross,release_date,user_reviews,critic_reviews,popularity,awards_wins,awards_nominations,Oscar_Best_Picture_won,Oscar_Best_Picture_nominated,Oscar_Best_Director_won,Oscar_Best_Director_nominated,Oscar_Best_Actor_won,Oscar_Best_Actor_nominated,Oscar_Best_Actress_won,Oscar_Best_Actress_nominated,Oscar_Best_Supporting_Actor_won,Oscar_Best_Supporting_Actor_nominated,Oscar_Best_Supporting_Actress_won,Oscar_Best_Supporting_Actress_nominated,Oscar_Best_AdaScreen_won,Oscar_Best_AdaScreen_nominated,Oscar_Best_OriScreen_won,Oscar_Best_OriScreen_nominated,Oscar_nominated,Oscar_nominated_categories,Golden_Globes_won,Golden_Globes_won_categories,Golden_Globes_nominated,Golden_Globes_nominated_categories,BAFTA_won,BAFTA_won_categories,BAFTA_nominated,BAFTA_nominated_categories,Screen_Actors_Guild_won,Screen_Actors_Guild_won_categories,Screen_Actors_Guild_nominated,Screen_Actors_Guild_nominated_categories,Critics_Choice_won,Critics_Choice_won_categories,Critics_Choice_nominated,Critics_Choice_nominated_categories,Directors_Guild_won,Directors_Guild_won_categories,Directors_Guild_nominated,Directors_Guild_nominated_categories,Producers_Guild_won,Producers_Guild_won_categories,Producers_Guild_nominated,Producers_Guild_nominated_categories,Art_Directors_Guild_won,Art_Directors_Guild_won_categories,Art_Directors_Guild_nominated,Art_Directors_Guild_nominated_categories,Writers_Guild_won,Writers_Guild_won_categories,Writers_Guild_nominated,Writers_Guild_nominated_categories,Costume_Designers_Guild_won,Costume_Designers_Guild_won_categories,Costume_Designers_Guild_nominated,Costume_Designers_Guild_nominated_categories,Online_Film_Television_Association_won,Online_Film_Television_Association_won_categories,Online_Film_Television_Association_nominated,Online_Film_Television_Association_nominated_categories,Online_Film_Critics_Society_won,Online_Film_Critics_Society_won_categories,Online_Film_Critics_Society_nominated,Online_Film_Critics_Society_nominated_categories,People_Choice_won,People_Choice_won_categories,People_Choice_nominated,People_Choice_nominated_categories,London_Critics_Circle_Film_won,London_Critics_Circle_Film_won_categories,London_Critics_Circle_Film_nominated,London_Critics_Circle_Film_nominated_categories,American_Cinema_Editors_won,American_Cinema_Editors_won_categories,American_Cinema_Editors_nominated,American_Cinema_Editors_nominated_categories,Hollywood_Film_won,Hollywood_Film_won_categories,Hollywood_Film_nominated,Hollywood_Film_nominated_categories,Austin_Film_Critics_Association_won,Austin_Film_Critics_Association_won_categories,Austin_Film_Critics_Association_nominated,Austin_Film_Critics_Association_nominated_categories,Denver_Film_Critics_Society_won,Denver_Film_Critics_Society_won_categories,Denver_Film_Critics_Society_nominated,Denver_Film_Critics_Society_nominated_categories,Boston_Society_of_Film_Critics_won,Boston_Society_of_Film_Critics_won_categories,Boston_Society_of_Film_Critics_nominated,Boston_Society_of_Film_Critics_nominated_categories,New_York_Film_Critics_Circle_won,New_York_Film_Critics_Circle_won_categories,New_York_Film_Critics_Circle_nominated,New_York_Film_Critics_Circle_nominated_categories,Los_Angeles_Film_Critics_Association_won,Los_Angeles_Film_Critics_Association_won_categories,Los_Angeles_Film_Critics_Association_nominated,Los_Angeles_Film_Critics_Association_nominated_categories,release_date.year,release_date.month,release_date.day-of-month,release_date.day-of-week
2009,Bride Wars,tt0901476,PG,89,Comedy|Romance,5.4,24,Two best friends become rivals when they schedule their respective weddings on the same day.,82041,58720000,2009-01-09,129,152,1198,0,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Favorite Comedy Movie,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2009,1,9,5
2012,The Hobbit: An Unexpected Journey,tt0903624,PG-13,169,Adventure|Fantasy,7.9,58,"A reluctant hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home - and the gold within it - from the dragon Smaug.",655908,303000000,2012-12-14,1378,646,257,1,15,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,3,Best Achievement in Production Design|Best Achievement in Visual Effects|Best Achievement in Makeup and Hairstyling,0,,0,,0,,4,Best Sound|Best Special Visual Effects|Best Make Up/Hair|BAFTA Kids Vote - Feature Film,0,,0,,0,,4,Best Visual Effects|Best Makeup|Best Costume Design|Best Art Direction,0,,0,,0,,0,,0,,1,Fantasy Film,0,,0,,0,,1,Excellence in Fantasy Film,1,Best Makeup and Hairstyling,5,"Most Cinematic Moment|Best Visual Effects|Best Production Design|Best Music, Original Song|Best Makeup and Hairstyling",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2012,12,14,5
2007,Once,tt0907657,R,85,Drama|Music|Romance,7.9,88,"A modern-day musical about a busker and an immigrant and their eventful week in Dublin, as they write, rehearse and record songs that tell their love story.",94927,9440000,2007-06-15,329,233,2206,3,9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,"Best Achievement in Music Written for Motion Pictures, Original Song",0,,0,,0,,0,,0,,0,,1,Best Song,1,Best Song,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,"Best Music, Original Song",2,"Best Breakthrough Performance - Male|Best Music, Original Song",0,,3,Best Breakthrough Filmmaker|Best Breakthrough Performance|Best Score,0,,0,,0,,2,British Breakthrough - Filmmaking|British Film of the Year,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Best Music,1,Best Music,2007,6,15,5
2008,Pineapple Express,tt0910936,R,111,Action|Comedy|Crime,7.0,64,A process server and his marijuana dealer wind up on the run from hitmen and a corrupt police officer after he witnesses his dealer's boss murder a competitor while trying to serve papers on him.,262683,87340000,2008-08-06,377,233,1530,0,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,,0,,1,Best Performance by an Actor in a Motion Picture - Comedy or Musical,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2008,8,6,3
2008,WALL·E,tt0910970,G,98,Animation|Adventure|Family,8.4,94,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",752912,223810000,2008-06-27,1049,424,1325,25,38,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,6,"Best Achievement in Sound Editing|Best Achievement in Sound Mixing|Best Achievement in Music Written for Motion Pictures, Original Song|Best Achievement in Music Written for Motion Pictures, Original Score|Best Original Screenplay|Best Animated Feature Film of the Year",1,Best Animated Film,2,Best Original Song - Motion Picture|Best Animated Film,2,Best Animated Film|Best Feature Film,4,Best Sound||Best Animated Film|Best Feature Film,0,,0,,1,Best Animated Feature,3,Best Song|Best Picture|Best Animated Feature,0,,0,,1,Outstanding Producer of Animated Theatrical Motion Pictures,1,Outstanding Producer of Animated Theatrical Motion Pictures,0,,1,Fantasy Film,0,,0,,0,,0,,9,"Best Cinematic Moment|Best Titles Sequence|Best Sound Effects Editing|Best Sound Mixing|Best Music, Original Score|Best Writing, Screenplay Written Directly for the Screen|Best Voice-Over Performance|Best Animated Picture|Best Picture",11,"Best Music, Original Song|Best Director|Best Cinematic Moment|Best Titles Sequence|Best Sound Effects Editing|Best Sound Mixing|Best Music, Original Score|Best Writing, Screenplay Written Directly for the Screen|Best Voice-Over Performance|Best Animated Picture|Best Picture",3,Best Animated Feature|Best Original Screenplay|Best Picture,6,Best Original Score|Best Editing|Best Director|Best Animated Feature|Best Original Screenplay|Best Picture,1,Favorite Family Movie,1,Favorite Family Movie,0,,1,Film of the Year,1,Best Edited Feature Film (Comedy or Musical),1,Best Edited Feature Film (Comedy or Musical),1,Animation of the Year,1,Animation of the Year,1,Best Animated Feature,2,Best Film|Best Animated Feature,0,,0,,2,Best Animated Film|Best Film,2,Best Animated Film|Best Film,1,Best Animated Film,1,Best Animated Film,1,Best Picture,1,Best Picture,2008,6,27,5
2008,The Boy in the Striped Pajamas,tt0914798,PG-13,94,Drama|War,7.8,55,"Set during WWII, a story seen through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, whose forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences.",139415,9030000,2008-11-26,402,184,1086,0,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Young British Performer of the Year,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2008,11,26,3
2010,Unthinkable,tt0914863,R,97,Drama|Thriller,7.1,,A psychological thriller centered around a black-ops interrogator and an FBI agent who press a suspect terrorist into divulging the location of three nuclear weapons set to detonate in the U.S.,73530,,2010-05-26,257,56,1652,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2010,5,26,3
2008,Doubt,tt0918927,PG-13,104,Drama|Mystery,7.5,68,A Catholic school principal questions a priest's ambiguous relationship with a troubled young student.,102109,33420000,2008-12-25,326,292,1703,3,35,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,5,Best Adapted Screenplay|Best Performance by an Actress in a Supporting Role|Best Performance by an Actress in a Supporting Role|Best Performance by an Actor in a Supporting Role|Best Performance by an Actress in a Leading Role,0,,5,Best Screenplay - Motion Picture|Best Performance by an Actress in a Supporting Role in a Motion Picture|Best Performance by an Actress in a Supporting Role in a Motion Picture|Best Performance by an Actor in a Supporting Role in a Motion Picture|Best Performance by an Actress in a Motion Picture - Drama,0,,3,Best Supporting Actress|Best Supporting Actor|Best Leading Actress,1,Outstanding Performance by a Female Actor in a Leading Role,5,Outstanding Performance by a Cast in a Motion Picture|Outstanding Performance by a Female Actor in a Supporting Role|Outstanding Performance by a Female Actor in a Supporting Role|Outstanding Performance by a Male Actor in a Supporting Role|Outstanding Performance by a Female Actor in a Leading Role,1,Best Actress,6,Best Writer|Best Acting Ensemble|Best Supporting Actress|Best Supporting Actor|Best Picture|Best Actress,0,,0,,0,,0,,0,,1,Period Film,0,,1,Best Adapted Screenplay,0,,0,,1,Best Actress,6,"Best Cinematic Moment|Best Writing, Screenplay Based on Material from Another Medium|Best Ensemble|Best Supporting Actress|Best Supporting Actor|Best Actress",0,,4,Best Supporting Actress|Best Supporting Actress|Best Supporting Actor|Best Actress,0,,0,,0,,1,Actress of the Year,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Best Supporting Actress,0,,1,Best Supporting Actress,0,,1,Best Supporting Actress,2008,12,25,4
2010,Harry Potter and the Deathly Hallows: Part 1,tt0926084,PG-13,146,Adventure|Family|Fantasy,7.7,65,"As Harry races against time and evil to destroy the Horcruxes, he uncovers the existence of three most powerful objects in the wizarding world: the Deathly Hallows.",346023,294980000,2010-11-19,624,430,530,0,9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2,Best Achievement in Art Direction|Best Achievement in Visual Effects,0,,0,,0,,2,Best Special Visual Effects|Best Make Up & Hair,0,,0,,0,,3,Favorite Film Franchise|Best Visual Effects|Best Makeup,0,,0,,0,,0,,0,,1,Fantasy Film,0,,0,,0,,0,,0,,2,Best Visual Effects|Best Makeup and Hairstyling,0,,0,,0,,1,Favorite Move Fan Following,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2010,11,19,5
2009,Precious,tt0929632,R,110,Drama,7.3,79,"In New York City's Harlem circa 1987, an overweight, abused, illiterate teen who is pregnant with her second child is invited to enroll in an alternative school in hopes that her life can head in a new direction.",89573,47540000,2009-11-20,277,321,1693,14,37,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,6,Best Achievement in Film Editing|Best Achievement in Directing|Best Performance by an Actress in a Leading Role|Best Motion Picture of the Year|Best Adapted Screenplay|Best Performance by an Actress in a Supporting Role,1,Best Performance by an Actress in a Supporting Role in a Motion Picture,3,Best Performance by an Actress in a Motion Picture - Drama|Best Motion Picture - Drama|Best Performance by an Actress in a Supporting Role in a Motion Picture,1,Best Supporting Actress,4,Best Leading Actress|Best Screenplay - Adapted|Best Film|Best Supporting Actress,1,Outstanding Performance by a Female Actor in a Supporting Role,3,Outstanding Performance by a Cast in a Motion Picture|Outstanding Performance by a Female Actor in a Leading Role|Outstanding Performance by a Female Actor in a Supporting Role,1,Best Supporting Actress,6,"Best Acting Ensemble|Best Screenplay, Adapted|Best Director|Best Actress|Best Picture|Best Supporting Actress",0,,1,Outstanding Directorial Achievement in Motion Pictures,1,,2,Outstanding Producer of Theatrical Motion Pictures|,0,,0,,0,,1,Best Adapted Screenplay,0,,1,Excellence in Contemporary Film,1,Best Supporting Actress,5,"Best First Screenplay|Best Writing, Screenplay Based on Material from Another Medium|Best Breakthrough Performance - Female|Best Actress|Best Supporting Actress",1,Best Supporting Actress,2,Best Actress|Best Supporting Actress,0,,0,,1,Actress of the Year,1,Actress of the Year,0,,0,,1,New Hollywood,1,New Hollywood,0,,0,,1,Best Supporting Actress,2,Best Adapted Screenplay|Best Supporting Actress,2,Best Ensemble Cast|Best Supporting Actress,3,Best Actress|Best Ensemble Cast|Best Supporting Actress,1,Best Supporting Actress,1,Best Supporting Actress,1,Best Supporting Actress,1,Best Supporting Actress,2009,11,20,5
