year,movie,movie_id,certificate,duration,genre,rate,metascore,synopsis,votes,gross,release_date,user_reviews,critic_reviews,popularity,awards_wins,awards_nominations,Oscar_Best_Picture_won,Oscar_Best_Picture_nominated,Oscar_Best_Director_won,Oscar_Best_Director_nominated,Oscar_Best_Actor_won,Oscar_Best_Actor_nominated,Oscar_Best_Actress_won,Oscar_Best_Actress_nominated,Oscar_Best_Supporting_Actor_won,Oscar_Best_Supporting_Actor_nominated,Oscar_Best_Supporting_Actress_won,Oscar_Best_Supporting_Actress_nominated,Oscar_Best_AdaScreen_won,Oscar_Best_AdaScreen_nominated,Oscar_Best_OriScreen_won,Oscar_Best_OriScreen_nominated,Oscar_nominated,Oscar_nominated_categories,Golden_Globes_won,Golden_Globes_won_categories,Golden_Globes_nominated,Golden_Globes_nominated_categories,BAFTA_won,BAFTA_won_categories,BAFTA_nominated,BAFTA_nominated_categories,Screen_Actors_Guild_won,Screen_Actors_Guild_won_categories,Screen_Actors_Guild_nominated,Screen_Actors_Guild_nominated_categories,Critics_Choice_won,Critics_Choice_won_categories,Critics_Choice_nominated,Critics_Choice_nominated_categories,Directors_Guild_won,Directors_Guild_won_categories,Directors_Guild_nominated,Directors_Guild_nominated_categories,Producers_Guild_won,Producers_Guild_won_categories,Producers_Guild_nominated,Producers_Guild_nominated_categories,Art_Directors_Guild_won,Art_Directors_Guild_won_categories,Art_Directors_Guild_nominated,Art_Directors_Guild_nominated_categories,Writers_Guild_won,Writers_Guild_won_categories,Writers_Guild_nominated,Writers_Guild_nominated_categories,Costume_Designers_Guild_won,Costume_Designers_Guild_won_categories,Costume_Designers_Guild_nominated,Costume_Designers_Guild_nominated_categories,Online_Film_Television_Association_won,Online_Film_Television_Association_won_categories,Online_Film_Television_Association_nominated,Online_Film_Television_Association_nominated_categories,Online_Film_Critics_Society_won,Online_Film_Critics_Society_won_categories,Online_Film_Critics_Society_nominated,Online_Film_Critics_Society_nominated_categories,People_Choice_won,People_Choice_won_categories,People_Choice_nominated,People_Choice_nominated_categories,London_Critics_Circle_Film_won,London_Critics_Circle_Film_won_categories,London_Critics_Circle_Film_nominated,London_Critics_Circle_Film_nominated_categories,American_Cinema_Editors_won,American_Cinema_Editors_won_categories,American_Cinema_Editors_nominated,American_Cinema_Editors_nominated_categories,Hollywood_Film_won,Hollywood_Film_won_categories,Hollywood_Film_nominated,Hollywood_Film_nominated_categories,Austin_Film_Critics_Association_won,Austin_Film_Critics_Association_won_categories,Austin_Film_Critics_Association_nominated,Austin_Film_Critics_Association_nominated_categories,Denver_Film_Critics_Society_won,Denver_Film_Critics_Society_won_categories,Denver_Film_Critics_Society_nominated,Denver_Film_Critics_Society_nominated_categories,Boston_Society_of_Film_Critics_won,Boston_Society_of_Film_Critics_won_categories,Boston_Society_of_Film_Critics_nominated,Boston_Society_of_Film_Critics_nominated_categories,New_York_Film_Critics_Circle_won,New_York_Film_Critics_Circle_won_categories,New_York_Film_Critics_Circle_nominated,New_York_Film_Critics_Circle_nominated_categories,Los_Angeles_Film_Critics_Association_won,Los_Angeles_Film_Critics_Association_won_categories,Los_Angeles_Film_Critics_Association_nominated,Los_Angeles_Film_Critics_Association_nominated_categories,release_date.year,release_date.month,release_date.day-of-month,release_date.day-of-week
2001,Kate & Leopold,tt0035423,PG-13,118,Comedy|Fantasy|Romance,6.4,44,An English Duke from 1876 is inadvertedly dragged to modern day New York where he falls for a plucky advertising executive.,66660,47100000,2001-12-25,318,125,2363,1,4,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,"Best Music, Original Song",1,Best Original Song - Motion Picture,2,Best Performance by an Actor in a Motion Picture - Comedy or Musical|Best Original Song - Motion Picture,0,,0,,0,,0,,0,,1,Best Song,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,"Best Music, Original Song",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2001,12,25,2
2000,Chicken Run,tt0120630,G,84,Animation|Adventure|Comedy,7.0,88,"When a cockerel apparently flies into a chicken farm, the chickens see him as an opportunity to escape their evil owners.",144475,106790000,2000-06-23,361,186,2859,5,11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,,0,,1,Best Motion Picture - Comedy or Musical,0,,2,Best Achievement in Special Visual Effects|,0,,0,,1,Best Animated Film,1,Best Animated Film,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Best Animated Picture,2,Best Voice-Over Performance|Best Animated Picture,1,Top Ten Films of the Year,1,Top Ten Films of the Year,0,,0,,0,,2,British Producer of the Year|British Film of the Year,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Best Animated Film,1,Best Animated Film,1,Best Animation,1,Best Animation,2000,6,23,5
2005,Fantastic Four,tt0120667,PG-13,106,Action|Adventure|Family,5.7,40,"A group of astronauts gain superpowers after a cosmic radiation exposure and must use them to oppose the plans of their enemy, Doctor Victor Von Doom.",273203,154700000,2005-07-08,1008,278,1876,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2005,7,8,5
2002,Frida,tt0120679,R,123,Biography|Drama|Romance,7.4,61,"A biography of artist Frida Kahlo, who channeled the pain of a crippling injury and her tempestuous marriage into her work.",63852,25780000,2002-11-22,272,126,2508,2,12,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,6,"Best Music, Original Song|Best Costume Design|Best Art Direction-Set Decoration|Best Performance by an Actress in a Leading Role|Best Makeup|Best Music, Original Score",1,Best Original Score - Motion Picture,2,Best Performance by an Actress in a Motion Picture - Drama|Best Original Score - Motion Picture,1,Best Make Up/Hair,4,Best Costume Design|Best Performance by an Actor in a Supporting Role|Best Performance by an Actress in a Leading Role|Best Make Up/Hair,0,,2,Outstanding Performance by a Male Actor in a Supporting Role|Outstanding Performance by a Female Actor in a Leading Role,0,,2,Best Actress|Best Supporting Actor,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Excellence in Period/Fantasy Film,0,,1,Best Costume Design,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2002,11,22,5
2001,The Lord of the Rings: The Fellowship of the Ring,tt0120737,PG-13,178,Adventure|Drama|Fantasy,8.8,92,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle Earth from the Dark Lord Sauron.,1286275,313840000,2001-12-19,5078,296,204,26,67,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,13,"Best Sound|Best Music, Original Song|Best Film Editing|Best Costume Design|Best Art Direction-Set Decoration|Best Adapted Screenplay|Best Achievement in Directing|Best Performance by an Actor in a Supporting Role|Best Motion Picture of the Year|Best Effects, Visual Effects|Best Music, Original Score|Best Makeup|Best Cinematography",0,,4,Best Original Song - Motion Picture|Best Original Score - Motion Picture|Best Director - Motion Picture|Best Motion Picture - Drama,5,|Best Make Up/Hair|Best Achievement in Special Visual Effects|Best Film|,14,Best Sound|Best Editing|Best Costume Design|Best Production Design|Best Cinematography|Best Performance by an Actor in a Leading Role|Best Screenplay - Adapted|Best Feature Film|||Best Make Up/Hair|Best Achievement in Special Visual Effects|Best Film|,1,Outstanding Performance by a Male Actor in a Supporting Role,2,Outstanding Performance by the Cast of a Theatrical Motion Picture|Outstanding Performance by a Male Actor in a Supporting Role,3,Favorite Film Franchise|Best Composer|Best Song,5,Favorite Film Franchise|Best Picture|Best Director|Best Composer|Best Song,0,,1,Outstanding Directorial Achievement in Motion Pictures,0,,1,Outstanding Producer of Theatrical Motion Pictures,0,,1,Period or Fantasy Film,0,,1,Best Screenplay Based on Material Previously Produced or Published,0,,0,,13,"Motion Picture|Best Cinematic Moment|Best Visual Effects|Best Sound Effects Editing|Best Sound Mixing|Best Makeup and Hairstyling|Best Production Design|Best Music, Original Score|Best Writing, Screenplay Based on Material from Another Medium|Best Director|Best Casting|Best Ensemble|Best Picture",22,"Motion Picture|Best Official Film Website|Best Cinematic Moment|Best Titles Sequence|Best Costume Design|Best Cinematography|Best Film Editing|Best Music, Original Song|Best Breakthrough Performance - Male|Best Supporting Actor|Best Cinematic Moment|Best Visual Effects|Best Sound Effects Editing|Best Sound Mixing|Best Makeup and Hairstyling|Best Production Design|Best Music, Original Score|Best Writing, Screenplay Based on Material from Another Medium|Best Director|Best Casting|Best Ensemble|Best Picture",1,Top Ten Films of the Year,8,Best Original Score|Best Cinematography|Best Adapted Screenplay|Best Ensemble|Best Supporting Actor|Best Director|Best Picture|Top Ten Films of the Year,2,Favorite Dramatic Motion Picture|Favorite Motion Picture,3,Favorite Move Fan Following|Favorite Dramatic Motion Picture|Favorite Motion Picture,0,,0,,0,,1,Best Edited Feature Film - Dramatic,0,,0,,0,,1,Best Movie of the Decade,0,,0,,0,,1,Best Director,0,,0,,1,Best Music,2,Best Production Design|Best Music,2001,12,19,3
2000,Mission: Impossible II,tt0120755,PG-13,123,Action|Adventure|Thriller,6.1,59,"A secret agent is sent to Sydney, to find and destroy a genetically modified disease called ""Chimera"".",249988,215400000,2000-05-24,1431,234,2153,1,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,,0,,0,,0,,0,,0,,0,,1,Best Score,1,Best Score,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Best Titles Sequence,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2000,5,24,3
2002,Resident Evil,tt0120804,R,100,Action|Horror|Sci-Fi,6.7,33,"A special military unit fights a powerful, out-of-control supercomputer and hundreds of scientists who have mutated into flesh-eating creatures after a laboratory accident.",204545,39530000,2002-03-15,1145,225,355,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2002,3,15,5
2000,X-Men,tt0120903,PG-13,104,Action|Adventure|Sci-Fi,7.4,64,Two mutants come to a private academy for their kind whose resident superhero team must oppose a terrorist organization with similar powers.,468351,157300000,2000-07-14,1406,289,655,0,3,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Excellence in Contemporary Film,0,,2,Best Visual Effects|Best Makeup and Hairstyling,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2000,7,14,5
2000,The Emperor's New Groove,tt0120917,G,78,Animation|Adventure|Comedy,7.3,70,"Emperor Kuzco is turned into a llama by his ex-administrator Yzma, and must now regain his throne with the help of Pacha, the gentle llama herder.",133781,89300000,2000-12-15,298,141,1332,2,7,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,"Best Music, Original Song",0,,1,Best Original Song - Motion Picture,0,,0,,0,,0,,1,Best Song,2,Best Animated Feature|Best Song,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Best Voice-Over Performance,4,"Best Music, Original Song|Best Voice-Over Performance|Best Animated Picture|Best Voice-Over Performance",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2000,12,15,5
2005,Corpse Bride,tt0121164,PG,77,Animation|Drama|Family,7.4,83,"When a shy groom practices his wedding vows in the inadvertent presence of a deceased young woman, she rises from the grave assuming he has married her.",197604,53340000,2005-09-23,477,266,2022,0,5,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,Best Animated Feature Film of the Year,0,,0,,0,,0,,0,,0,,0,,1,Best Animated Feature,0,,0,,0,,1,Outstanding Producer of Animated Theatrical Motion Pictures,0,,0,,0,,0,,0,,0,,0,,1,Best Animated Picture,0,,1,Best Animated Feature,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Best Animated Film,0,,0,,2005,9,23,5
2002,Star Wars: Episode II - Attack of the Clones,tt0121765,PG,142,Action|Adventure|Fantasy,6.7,54,"Ten years after initially meeting, Anakin Skywalker shares a forbidden romance with Padmé, while Obi-Wan investigates an assassination attempt on the Senator and discovers a secret clone army crafted for the Jedi.",485730,310680000,2002-05-16,3531,291,544,0,6,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,Best Visual Effects,0,,0,,0,,0,,0,,0,,0,,1,Best Digital Acting Performance,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3,Best Visual Effects|Best Sound Effects Editing|Best Sound Mixing,0,,2,Best Sound|Best Visual Effects,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2002,5,16,4
2005,Star Wars: Episode III - Revenge of the Sith,tt0121766,PG-13,140,Action|Adventure|Fantasy,7.6,68,"Three years into the Clone Wars, the Jedi rescue Palpatine from Count Dooku. As Obi-Wan pursues a new threat, Anakin acts as a double agent between the Jedi Council and Palpatine and is lured into a sinister plan to rule the galaxy.",543318,380260000,2005-05-19,3303,356,387,2,7,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,Best Achievement in Makeup,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Excellence in Fantasy Film,0,,4,Best Official Film Website|Best Visual Effects|Best Sound Effects Editing|Best Makeup and Hairstyling,0,,0,,2,Favorite Movie Drama|Favorite Movie,2,Favorite Movie Drama|Favorite Movie,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2005,5,19,4
2001,Shrek,tt0126029,PG,90,Animation|Adventure|Comedy,7.9,84,"After his swamp is filled with magical creatures, Shrek agrees to rescue Princess Fiona for a villainous lord in order to get his land back.",483447,267650000,2001-05-18,950,212,1064,9,22,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,2,Best Adapted Screenplay|Best Animated Feature,0,,1,Best Motion Picture - Comedy or Musical,2,Best Screenplay - Adapted|Best Feature Film,7,Best Achievement in Special Visual Effects|Best Sound|Best Performance by an Actor in a Supporting Role||Best Film|Best Screenplay - Adapted|Best Feature Film,0,,0,,1,Best Animated Film,2,Best Picture|Best Animated Film,0,,0,,0,,1,Outstanding Producer of Theatrical Motion Pictures,0,,0,,0,,0,,0,,0,,2,Best Voice-Over Performance|Best Animated Picture,4,Best Titles Sequence|Best Voice-Over Performance|Best Voice-Over Performance|Best Animated Picture,2,Top Ten Films of the Year|Best Animated Feature,3,Best Overall DVD|Top Ten Films of the Year|Best Animated Feature,1,Favorite Motion Picture,1,Favorite Motion Picture,0,,0,,0,,1,Best Edited Feature Film - Comedy or Musical,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Best Animated Film,1,Best Animation,1,Best Animation,2001,5,18,5
2001,Planet of the Apes,tt0133152,PG-13,119,Action|Adventure|Sci-Fi,5.7,50,"An Air Force astronaut crash lands on a mysterious planet where evolved, talking apes dominate a race of primitive humans.",181213,180010000,2001-07-27,1369,230,1144,0,5,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,,0,,0,,0,,2,Best Make Up/Hair|Best Costume Design,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Excellence in Period/Fantasy Film,0,,2,Best Makeup and Hairstyling|Best Costume Design,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2001,7,27,5
2002,Treasure Planet,tt0133240,PG,95,Animation|Adventure|Family,7.1,60,"A Disney animated version of ""Treasure Island"". The only difference is that the film is set in outer space with alien worlds and other galactic wonders.",74746,38120000,2002-11-27,219,127,2568,0,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,Best Animated Feature,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Best Animated Picture,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2002,11,27,3
2000,Pitch Black,tt0134847,R,109,Horror|Sci-Fi,7.1,49,"A commercial transport ship and its crew are marooned on a planet full of bloodthirsty creatures that only come out to feast at night. But then, they learn that a month-long eclipse is about to occur.",197982,39240000,2000-02-18,808,211,1353,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2000,2,18,5
2001,Training Day,tt0139654,R,122,Crime|Drama|Thriller,7.7,69,"On his first day on the job as a Los Angeles narcotics officer, a rookie cop goes on a 24-hour training course with a rogue detective who isn't what he appears.",316040,76260000,2001-10-05,638,109,930,2,7,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,2,Best Performance by an Actor in a Supporting Role|Best Performance by an Actor in a Leading Role,0,,1,Best Performance by an Actor in a Motion Picture - Drama,0,,0,,0,,2,Outstanding Performance by a Male Actor in a Supporting Role|Outstanding Performance by a Male Actor in a Leading Role,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Best Actor,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Best Actor,1,Best Actor,0,,1,Best Actor,1,Best Actor,1,Best Actor,2001,10,5,5
2000,U-571,tt0141926,PG-13,116,Action|War,6.6,62,A German submarine is boarded by disguised American submariners trying to capture their Enigma cipher machine.,66965,77090000,2000-04-21,608,178,3236,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2,Best Sound|Best Sound Editing,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2000,4,21,5
2000,American Psycho,tt0144084,R,102,Crime|Drama,7.6,64,"A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",371133,15050000,2000-04-14,1071,284,515,0,3,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Best Actor,0,,0,,0,,2,British Actor of the Year|Director of the Year,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2000,4,14,5
2002,Spider-Man,tt0145487,PG-13,121,Action|Adventure,7.3,73,"When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.",561251,403710000,2002-05-03,2017,291,437,1,6,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2,Best Visual Effects|Best Sound,0,,0,,0,,1,Best Achievement in Special Visual Effects,0,,0,,0,,1,Best Song,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,Best Visual Effects|Best Sound Effects Editing,0,,1,Best Visual Effects,1,Favorite Motion Picture,1,Favorite Motion Picture,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2002,5,3,5
2001,Lara Croft: Tomb Raider,tt0146316,PG-13,100,Action|Adventure|Fantasy,5.7,33,Video game adventuress Lara Croft comes to life in a movie where she races against time and villains to recover powerful ancient artifacts.,161278,131140000,2001-06-15,827,198,2068,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2001,6,15,5
2000,High Fidelity,tt0146882,R,113,Comedy|Drama|Music,7.5,79,"Rob, a record store owner and compulsive list maker, recounts his top five breakups, including the one in progress.",146486,27280000,2000-03-31,604,175,2450,0,7,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,,0,,1,Best Performance by an Actor in a Motion Picture - Comedy or Musical,0,,1,Best Screenplay - Adapted,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Best Screenplay Based on Material Previously Produced or Published,0,,1,Excellence in Contemporary Film,0,,1,"Best Music, Adapted Song",0,,1,Best Supporting Actor,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Best Supporting Actor,0,,0,,0,,0,,2000,3,31,5
2000,The Flintstones in Viva Rock Vegas,tt0158622,PG,90,Comedy|Family|Romance,3.6,27,"In this live-action prequel to the 1994 comedy hit, the Flintstones and the Rubbles go on a trip to Rock Vegas, where Wilma is pursued by playboy Chip Rockefeller.",16035,35230000,2000-04-28,86,57,2495,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2000,4,28,5
2003,Cold Mountain,tt0159365,R,154,Adventure|Drama|History,7.2,73,"In the waning days of the American Civil War, a wounded soldier embarks on a perilous journey back home to Cold Mountain, North Carolina to reunite with his sweetheart.",120878,95630000,2003-12-25,678,196,779,5,35,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,7,"Best Music, Original Song|Best Music, Original Song|Best Music, Original Score|Best Film Editing|Best Cinematography|Best Performance by an Actor in a Leading Role|Best Performance by an Actress in a Supporting Role",1,Best Performance by an Actress in a Supporting Role in a Motion Picture,8,Best Original Song - Motion Picture|Best Original Score - Motion Picture|Best Screenplay - Motion Picture|Best Director - Motion Picture|Best Performance by an Actress in a Motion Picture - Drama|Best Performance by an Actor in a Motion Picture - Drama|Best Motion Picture - Drama|Best Performance by an Actress in a Supporting Role in a Motion Picture,2,Best Performance by an Actress in a Supporting Role|,13,|Best Make Up/Hair|Best Sound|Best Costume Design|Best Production Design|Best Editing|Best Cinematography|Best Performance by an Actor in a Leading Role|Best Screenplay - Adapted|Best Film||Best Performance by an Actress in a Supporting Role|,1,Outstanding Performance by a Female Actor in a Supporting Role,1,Outstanding Performance by a Female Actor in a Supporting Role,1,Best Supporting Actress,4,Best Composer|Best Actress|Best Picture|Best Supporting Actress,0,,0,,0,,1,Outstanding Producer of Theatrical Motion Pictures,0,,0,,0,,1,Best Adapted Screenplay,0,,0,,0,,1,Best Supporting Actress,0,,1,Best Supporting Actress,0,,0,,0,,4,British Director of the Year|British Supporting Actor of the Year|British Actor of the Year|Actress of the Year,0,,1,Best Edited Feature Film - Dramatic,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2003,12,25,4
2000,Charlie's Angels,tt0160127,PG-13,98,Action|Adventure|Comedy,5.5,52,"Three women, detectives with a mysterious boss, retrieve stolen voice-ID software, using martial arts, tech skills, and sex appeal.",148354,125310000,2000-11-03,643,179,2293,0,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Excellence in Contemporary Film,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2000,11,3,5
2001,Nowhere in Africa,tt0161860,R,141,Biography|Drama,7.7,72,A German Jewish refugee family moves to and adjusts to a farm life in 1930s Kenya.,10887,6170000,2003-05-16,84,73,,0,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,Best Foreign Language Film,0,,1,Best Foreign Language Film,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2003,5,16,5
2000,Cast Away,tt0162222,PG-13,143,Adventure|Drama|Romance,7.7,73,A FedEx executive must transform himself physically and emotionally to survive a crash landing on a deserted island.,409544,233630000,2000-12-22,1060,222,690,6,15,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,2,Best Sound|Best Performance by an Actor in a Leading Role,1,Best Performance by an Actor in a Motion Picture - Drama,1,Best Performance by an Actor in a Motion Picture - Drama,0,,1,Best Performance by an Actor in a Leading Role,0,,1,Outstanding Performance by a Male Actor in a Leading Role,1,Best Inanimate Object,2,Best Picture|Best Inanimate Object,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,Best Sound Mixing|Best Actor,6,Best Cinematic Moment|Best Visual Effects|Best Sound Effects Editing|Best Makeup and Hairstyling|Best Sound Mixing|Best Actor,1,Best Actor,1,Best Actor,0,,0,,0,,0,,0,,1,Best Edited Feature Film - Dramatic,0,,0,,0,,0,,0,,0,,0,,1,Best Actor,1,Best Actor,1,Best Actor,0,,0,,2000,12,22,5
2001,Ghost World,tt0162346,R,111,Comedy|Drama,7.4,88,"With only the plan of moving in together after high school, two unusually devious friends seek direction in life. As a mere gag, they respond to a man's newspaper ad for a date, only to find it will greatly complicate their lives.",98471,6200000,2001-09-21,489,123,2232,4,21,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,1,Best Adapted Screenplay,0,,2,Best Performance by an Actor in a Supporting Role in a Motion Picture|Best Performance by an Actress in a Motion Picture - Comedy or Musical,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Best Screenplay Based on Material Previously Produced or Published,0,,0,,1,"Best Writing, Screenplay Based on Material from Another Medium",4,"Best First Screenplay|Best Breakthrough Performance - Female|Best Supporting Actor|Best Writing, Screenplay Based on Material from Another Medium",2,Top Ten Films of the Year|Best Supporting Actor,7,Best Adapted Screenplay|Best Ensemble|Best Supporting Actress|Best Actress|Best Picture|Top Ten Films of the Year|Best Supporting Actor,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3,Best Screenplay|Best Supporting Actor|Best Supporting Actress,1,Best Supporting Actor,3,Best Supporting Actress|Best First Film|Best Supporting Actor,0,,1,Best Screenplay,2001,9,21,5
2001,Jurassic Park III,tt0163025,PG-13,92,Action|Adventure|Sci-Fi,5.9,42,"A decidedly odd couple with ulterior motives convince Dr. Alan Grant to go to Isla Sorna (the second InGen dinosaur lab.), resulting in an unexpected landing...and unexpected new inhabitants on the island.",227486,181170000,2001-07-18,1247,197,2041,0,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Best Visual Effects,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2001,7,18,3
