batallas  	 15
desafíos  	 5
amores  	 29
tormentas  	 2
disparates  	 28
imposibles  	 5
asentósele  	 1
modo  	 81
imaginación  	 31
toda  	 167
máquina  	 8
soñadas  	 3
invenciones  	 5
otra  	 283
historia  	 97
cierta  	 21
mundo  	 170
cid  	 7
ruy  	 2
díaz  	 1
buen  	 199
ver  	 216
ardiente  	 4
espada  	 61
revés  	 18
partido  	 5
medio  	 44
dos  	 301
fieros  	 2
descomunales  	 2
gigantes  	 17
bernardo  	 5
carpio  	 5
roncesvalle  	 1
muerto  	 59
roldán  	 10
encantado  	 47
valiéndose  	 1
industria  	 22
hércules  	 1
ahogó  	 2
anteo  	 1
hijo  	 41
brazos  	 46
gigante  	 47
morgante  	 1
ser  	 506
generación  	 2
gigantesca  	 1
son  	 181
soberbios  	 2
descomedidos  	 2
solo  	 48
afable  	 1
criado  	 41
reinaldos  	 4
montalbán  	 2
veía  	 21
salir  	 70
castillo  	 68
robar  	 3
topaba  	 1
allende  	 1
robó  	 3
ídolo  	 1
mahoma  	 4
oro  	 34
según  	 77
dice  	 83
diera  	 19
dar  	 170
mano  	 148
coces  	 11
traidor  	 17
galalón  	 3
efecto  	 24
rematado  	 1
ya  	 417
extraño  	 19
pensamiento  	 44
jamás  	 87
dio  	 133
loco  	 42
fue  	 368
pareció  	 57
convenible  	 1
necesario  	 14
aumento  	 4
honra  	 50
servicio  	 16
república  	 8
hacerse  	 18
andante  	 92
e  	 46
irse  	 22
armas  	 76
caballo  	 92
buscar  	 50
aventuras  	 56
ejercitarse  	 1
leído  	 37
caballeros  	 155
andantes  	 85
ejercitaban  	 1
deshaciendo  	 2
género  	 29
agravio  	 27
poniéndose  	 4
ocasiones  	 5
peligros  	 13
acabándolos  	 1
cobrase  	 2
eterno  	 5
fama  	 60
imaginábase  	 1
coronado  	 2
valor  	 61
brazo  	 60
menos  	 160
imperio  	 7
trapisonda  	 3
estos  	 122
agradables  	 4
llevado  	 19
estraño  	 2
ellos  	 192
sentía  	 9
dió  	 23
priesa  	 29
poner  	 80
deseaba  	 29
primero  	 97
hizo  	 144
limpiar  	 2
unas  	 36
